
[-73.9546, 40.821002]	1022
[-73.8708, 40.773738]	655
[-73.8744, 40.774051]	640
[-73.8745, 40.774108]	616
[-73.8744, 40.774028]	605
[-73.8745, 40.774101]	598
[-73.8744, 40.77407]	589
[-73.8708, 40.773761]	561
[-73.8708, 40.773731]	558
